ReferenceContrat;numcompteur;Ancienindex;Nouvelindex;consommation;datereleve;periode;nombrejours;categorie
22523048;22523048-int;422;512;90;25/02/2021;202104;60;DOM
22523049;22523049-int;214;254;40;25/02/2021;202104;60;DOM
22523050;22523050-int;621;722;101;25/02/2021;202104;60;DOM
22523051;22523051-int;160;203;43;25/02/2021;202104;60;DOM
22523052;22523052-int;87;107;20;25/02/2021;202104;60;DOM
22523053;22523053-int;379;425;46;25/02/2021;202104;60;DOM
22523054;22523054-int;2195;2269;74;25/02/2021;202104;60;DOM
22523055;22523055-int;1846;1861;15;25/02/2021;202104;60;DOM
22523056;22523056-int;980;1122;142;25/02/2021;202104;60;DOM
22523057;22523057-int;845;997;152;25/02/2021;202104;60;DOM
22523058;22523058-int;307;374;67;25/02/2021;202104;60;DOM
22523059;22523059-int;1607;1823;216;25/02/2021;202104;60;DOM
22523060;22523060-int;67;78;11;25/02/2021;202104;60;DOM
22523061;22523061-int;438;486;48;25/02/2021;202104;60;DOM
22523062;22523062-int;1372;1720;348;25/02/2021;202104;60;DOM
22523063;22523063-int;143;161;18;25/02/2021;202104;60;DOM
22523064;22523064-int;23;46;23;25/02/2021;202104;60;DOM
22523066;22523066-int;114;143;29;25/02/2021;202104;60;DOM
22523067;37219565811-9;29;50;21;25/02/2021;202104;60;DOM
22523068;22523068-int;1445;1706;261;25/02/2021;202104;60;DOM
22523069;22523069-int;2149;2468;319;25/02/2021;202104;60;PROD
22523070;37219574557-7;29;57;28;25/02/2021;202104;60;DOM
22523071;22523071-int;159;179;20;25/02/2021;202104;60;DOM
22523072;22523072-int;273;285;12;25/02/2021;202104;60;DOM
22523073;22523073-int;277;330;53;25/02/2021;202104;60;DOM
22523074;22523074-int;1786;2162;376;25/02/2021;202104;60;DOM
22523075;22523075-int;76;119;43;25/02/2021;202104;60;DOM
22523076;22523076-int;141;176;35;25/02/2021;202104;60;DOM
22523077;22523077-int;186;206;20;25/02/2021;202104;60;DOM
22523078;22523078-int;13;20;7;25/02/2021;202104;60;DOM
22523079;22523079-int;305;356;51;25/02/2021;202104;60;DOM
22523080;22523080-int;1181;1203;22;25/02/2021;202104;60;DOM
22523081;22523081-int;105;133;28;25/02/2021;202104;60;DOM
22523082;22523082-int;352;746;394;25/02/2021;202104;60;DOM
22523083;22523083-int;28;66;38;25/02/2021;202104;60;DOM
22523084;22523084-int;418;484;66;25/02/2021;202104;60;DOM
22523085;22523085-int;271;321;50;25/02/2021;202104;60;DOM
22523086;22523086-int;1238;1325;87;25/02/2021;202104;60;DOM
22523087;22523087-int;257;738;481;25/02/2021;202104;60;DOM
22523088;22523088-int;12754;14117;1363;25/02/2021;202104;60;DOM
22523089;22523089-int;51;65;14;25/02/2021;202104;60;DOM
22523090;22523090-int;644;792;148;25/02/2021;202104;60;DOM
22523092;22523092-int;1748;2046;298;25/02/2021;202104;60;DOM
22523093;22523093-int;162;230;68;25/02/2021;202104;60;DOM
22523094;22523094-int;209;240;31;25/02/2021;202104;60;DOM
22523095;22523095-int;93;111;18;25/02/2021;202104;60;DOM
22523096;22523096-int;72;104;32;25/02/2021;202104;60;DOM
